"maSP","maloaiSP","thongtinSP","tenSP","giaSP","hinhanhSP","sizeL","sizeXL"
"1","tshirt","The quality of the product is guaranteed","tee1 summers","1","1.1.jpg","97","3"
"2","tshirt","The quality of the product is guaranteed","tee100 summers","390","10.1.jpg","6","24"
"3","tshirt","The quality of the product is guaranteed","tee101 summers","390","11.1.jpg","10","30"
"4","tshirt","The quality of the product is guaranteed","tee102 summers","390","12.1.jpg","10","30"
"5","tshirt","The quality of the product is guaranteed","tee103 summers","150","13.1.jpg","10","30"
"6","tshirt","The quality of the product is guaranteed","tee104 summers","150","14.1.jpg","10","30"
"7","tshirt","The quality of the product is guaranteed","tee105 summers","150","15.1.jpg","10","30"
"8","tshirt","The quality of the product is guaranteed","tee106 summers","150","16.1.jpg","10","30"
"9","tshirt","The quality of the product is guaranteed","tee107 summers","150","17.1.jpg","10","30"
"10","tshirt","The quality of the product is guaranteed","tee108 summers","150","18.1.jpg","10","30"
"11","tshirt","The quality of the product is guaranteed","tee109 sping","150","19.1.jpg","10","30"
"12","tshirt","The quality of the product is guaranteed","tee110 sping","150","20.1.jpg","10","30"
"13","tshirt","The quality of the product is guaranteed","tee111 sping","390","21.1.jpg","10","30"
"14","tshirt","The quality of the product is guaranteed","tee112 sping","390","22.1.jpg","10","30"
"15","tshirt","The quality of the product is guaranteed","tee113 sping","275","23.1.jpg","10","30"
"16","tshirt","The quality of the product is guaranteed","tee114 sping","275","10.1.jpg","10","30"
"17","tshirt","The quality of the product is guaranteed","tee115 sping","275","11.1.jpg","10","30"
"18","tshirt","The quality of the product is guaranteed","tee116 sping","275","12.1.jpg","10","30"
"19","tshirt","The quality of the product is guaranteed","tee117 winter","275","13.1.jpg","10","30"
"20","tshirt","The quality of the product is guaranteed","tee118 winter","275","14.1.jpg","10","30"
"21","tshirt","The quality of the product is guaranteed","tee119 winter","275","15.1.jpg","10","30"
"22","tshirt","The quality of the product is guaranteed","tee120 winter","275","16.1.jpg","10","30"
"23","tshirt","The quality of the product is guaranteed","tee121 winter","275","17.1.jpg","10","30"
"24","tshirt","The quality of the product is guaranteed","tee122 winter","275","18.1.jpg","10","30"
"25","tshirt","The quality of the product is guaranteed","tee123 winter","155","19.1.jpg","10","30"
"26","tshirt","The quality of the product is guaranteed","tee124 winter","155","21.1.jpg","10","30"
"27","tshirt","The quality of the product is guaranteed","tee125 winter","155","7.1.jpg","10","30"
"28","tshirt","The quality of the product is guaranteed","tee126 winter","155","8.1.jpg","10","30"
"29","jacket","The quality of the product is guaranteed","jacket100 summers","155","jk1.jpg","10","30"
"30","jacket","The quality of the product is guaranteed","jacket101 summers","155","jk1.jpg","10","30"
"31","jacket","The quality of the product is guaranteed","jacket102 summers","155","jk1.jpg","10","30"
"32","jacket","The quality of the product is guaranteed","jacket103 summers","155","jk10.jpg","10","30"
"33","jacket","The quality of the product is guaranteed","jacket104 summers","155","jk10.jpg","10","30"
"34","jacket","The quality of the product is guaranteed","jacket105 summers","155","jk10.jpg","10","30"
"35","jacket","The quality of the product is guaranteed","jacket106 summers","155","jk10.jpg","10","30"
"36","jacket","The quality of the product is guaranteed","jacket107 summers","155","jk10.jpg","10","30"
"37","jacket","The quality of the product is guaranteed","jacket108 summers","155","jk2.jpg","10","30"
"38","jacket","The quality of the product is guaranteed","jacket109 sping","275","jk2.jpg","10","30"
"39","jacket","The quality of the product is guaranteed","jacket110 sping","275","jk9.jpg","10","30"
"40","jacket","The quality of the product is guaranteed","jacket111 sping","275","jk9.jpg","10","30"
"41","jacket","The quality of the product is guaranteed","jacket112 sping","275","jk3.jpg","10","30"
"42","jacket","The quality of the product is guaranteed","jacket113 sping","275","jk3.jpg","10","30"
"43","jacket","The quality of the product is guaranteed","jacket114 sping","275","jk8.jpg","10","30"
"44","jacket","The quality of the product is guaranteed","jacket115 sping","275","jk8.jpg","10","30"
"45","jacket","The quality of the product is guaranteed","jacket116 sping","275","jk8.jpg","10","30"
"46","jacket","The quality of the product is guaranteed","jacket117 winter","150","jk4.jpg","10","30"
"47","jacket","The quality of the product is guaranteed","jacket118 winter","150","jk4.jpg","10","30"
"48","jacket","The quality of the product is guaranteed","jacket119 winter","150","jk4.jpg","10","30"
"49","jacket","The quality of the product is guaranteed","jacket120 winter","150","jk7.jpg","10","30"
"50","jacket","The quality of the product is guaranteed","jacket121 winter","150","jk7.jpg","10","30"
"51","jacket","The quality of the product is guaranteed","jacket122 winter","150","jk5.jpg","10","30"
