ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
347,simple,1,tee1 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,89000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/1.1.jpg,,,,,,,,,0,,,,,,,,
348,simple,2,tee100 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,390000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/10.1.jpg,,,,,,,,,0,,,,,,,,
349,simple,3,tee101 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,390000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/11.1.jpg,,,,,,,,,0,,,,,,,,
350,simple,4,tee102 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,390000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/12.1.jpg,,,,,,,,,0,,,,,,,,
351,simple,5,tee103 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/13.1.jpg,,,,,,,,,0,,,,,,,,
352,simple,6,tee104 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/14.1.jpg,,,,,,,,,0,,,,,,,,
353,simple,7,tee105 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/15.1.jpg,,,,,,,,,0,,,,,,,,
354,simple,8,tee106 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/16.1.jpg,,,,,,,,,0,,,,,,,,
355,simple,9,tee107 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/17.1.jpg,,,,,,,,,0,,,,,,,,
356,simple,10,tee108 summers,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/18.1.jpg,,,,,,,,,0,,,,,,,,
357,simple,11,tee109 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/19.1.jpg,,,,,,,,,0,,,,,,,,
358,simple,12,tee110 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,150000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/20.1.jpg,,,,,,,,,0,,,,,,,,
359,simple,13,tee111 sping,1,0,visible,,"ĐẶC ĐIỂM SẢN PHẨM
\n
\n- Thiết kế thời trang đơn giản không kém phần hiện đại giúp dễ phối đồ.
\n
\n- Chất vải thun cotton da cá thông thoáng, khả năng thấm hút mồ hôi cực kỳ tốt tạo cảm giác thoải mái khi mặc.
\n
\n- Thiết kế áo có màu đen, trắng giúp mặc tôn da thích hợp mặc đi học, đi chơi.
\n
\n- Áo polo tay ngắn, có in họa tiết chữ mặt trước và sau cao cấp, không bong tróc.
\n
\n- Sản phẩm lên form chuẩn giúp mang lại cảm giác thoải mái khi mặc.
\n
\n- Chất vải cao cấp, giặt không đổ lông hay phai màu.
\n
\n- Sản phẩm được đảm bảo với quy trình sản xuất chất lượng với đường may chắc chắn, tỉ mỉ từng chi tiết.
\n
\nHƯỚNG DẪN BẢO QUẢN
\n
\nGiặt nhẹ bằng tay với nước lã trước lần mặc đầu tiên.
\n
\nNên giặt tay 1-2 lần để giữ form. Không ngâm sản phẩm quá lâu.
\n
\nLúc phơi cần lộn ngược áo từ trong ra ngoài để tránh tình trạng bị bay màu, phai màu do ánh sáng mặt trời tiếp xúc trực tiếp vào áo và các hình in.
\n
\nBảo quản ở nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao.
\n
\n***Lưu ý: Màu sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.",,,taxable,,1,100,,0,0,0.2,,,,1,,,390,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/21.1.jpg,,,,,,,,,0,Size,Medium,1,1,Color,Black,1,1
360,simple,14,tee112 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,390,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/22.1.jpg,,,,,,,,,0,,,,,,,,
361,simple,15,tee113 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/23.1.jpg,,,,,,,,,0,,,,,,,,
362,simple,16,tee114 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/10.1.jpg,,,,,,,,,0,,,,,,,,
363,simple,17,tee115 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/11.1.jpg,,,,,,,,,0,,,,,,,,
364,simple,18,tee116 sping,1,0,visible,,The quality of the product is guaranteed,,,taxable,,1,100,,0,0,0.2,,,,1,,,275000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/12.1.jpg,,,,,,,,,0,,,,,,,,
365,simple,19,tee117 winter,1,0,visible,,"ĐẶC ĐIỂM SẢN PHẨM
\n
\n- Thiết kế thời trang đơn giản không kém phần hiện đại giúp dễ phối đồ.
\n
\n- Chất vải thun cotton da cá thông thoáng, khả năng thấm hút mồ hôi cực kỳ tốt tạo cảm giác thoải mái khi mặc.
\n
\n- Thiết kế áo có màu đen, trắng giúp mặc tôn da thích hợp mặc đi học, đi chơi.
\n
\n- Áo polo tay ngắn, có in họa tiết chữ mặt trước và sau cao cấp, không bong tróc.
\n
\n- Sản phẩm lên form chuẩn giúp mang lại cảm giác thoải mái khi mặc.
\n
\n- Chất vải cao cấp, giặt không đổ lông hay phai màu.
\n
\n- Sản phẩm được đảm bảo với quy trình sản xuất chất lượng với đường may chắc chắn, tỉ mỉ từng chi tiết.
\n
\nHƯỚNG DẪN BẢO QUẢN
\n
\nGiặt nhẹ bằng tay với nước lã trước lần mặc đầu tiên.
\n
\nNên giặt tay 1-2 lần để giữ form. Không ngâm sản phẩm quá lâu.
\n
\nLúc phơi cần lộn ngược áo từ trong ra ngoài để tránh tình trạng bị bay màu, phai màu do ánh sáng mặt trời tiếp xúc trực tiếp vào áo và các hình in.
\n
\nBảo quản ở nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao.
\n
\n***Lưu ý: Màu sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.",,,taxable,,1,100,,0,0,0.2,,,,1,,,275000,T-shirt,,,https://localhost/TMDT/wp-content/uploads/2022/11/13.1.jpg,,,,,,,,,0,Size,Large,1,1,,,,
